Experiment,T,t (min),mu0,mu1,mu2,mu3,C
7,29.85,21.35,42355.700,1006134.430,40623620.440,1551425261.190,0.137197
7,30,22.6167,43769.260,1059770.050,40173747.630,1832245198.440,0.135892
7,29.86,23.8833,49983.460,1111658.400,44274657.070,2052002037.740,0.136252
7,29.85,25.1333,54016.860,1103809.440,46615776.330,1949742661.600,0.135817
7,29.99,26.4,58154.720,1330081.300,46872294.120,2237052258.080,0.135012
7,30.15,27.65,62170.640,1125490.950,48607334.200,2162910678.070,0.134267
7,29.84,28.9167,59691.450,1227520.550,50294633.160,2352478807.890,0.134342
7,29.99,30.1833,74034.910,1398765.700,51867649.460,2445260526.180,0.135243
7,29.99,31.4333,70821.110,1368141.780,53238179.980,2324001779.840,0.133360
7,30.01,32.7,78573.760,1472396.120,56681725.750,2704572005.960,0.134318
